city,area_name,place_id,name,rating,popularity,price_level,types_csv,address,category_main
台北市,信義區,ChIJrSZypLCrQjQRdNWuZqKdwqM,欣葉台菜 信義新天地A9店,4.1,2208,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路9號8樓,中式
台北市,信義區,ChIJK8_-R7qrQjQRry-2_gI0xaI,金子半之助 新光A8店,4.4,2658,2.0,"restaurant,point_of_interest,food,establishment",11073台灣台北市信義區松高路12號 號B2,其他
台北市,信義區,ChIJoeKGFEarQjQRoJvdTA0KMv4,八色烤肉mini 台北101店,4.4,878,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區信義路五段7號B1,燒烤/串燒
台北市,信義區,ChIJBaF_VrirQjQRvZhFUoL5--I,屋頂上的貓私廚,4.4,543,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區逸仙路32巷9號1樓,其他
台北市,信義區,ChIJD2ReM02qQjQRAVtSkjmHrec,分享餐廳,4.0,341,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松仁路28號B2,其他
台北市,信義區,ChIJAT-u5hKrQjQRB0Ku5D6r79g,Saffron 46,4.4,1716,3.0,"bar,restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號46F,其他
台北市,信義區,ChIJx9kLTcCrQjQReOhQ7rph6sY,永心鳳茶奶茶專門所 YONSHIN MILKTEA MANSION,4.5,2399,2.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號2樓,其他
台北市,信義區,ChIJL26xRU-rQjQRMJy6E5VhKbI,ONE RULE Taipei,4.5,265,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路12號10 樓,其他
台北市,信義區,ChIJ1eXQShWrQjQR-9Ev_CR9KkI,初泰信義象山門市,4.5,2743,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區信義路五段122號,其他
台北市,信義區,ChIJcSKQS7qrQjQR39YcNWlxoDk,饗泰多泰式風格餐廳 微風松高店,4.5,2346,2.0,"restaurant,point_of_interest,food,establishment","3樓, 微風松高No. 16號松高路信義區台北市台灣 110",泰式
台北市,信義區,ChIJC6mZ2WirQjQREZ3Spd4j7qg,犇 極上 微風信義館,4.6,2869,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區忠孝東路五段68號微風信義4樓,其他
台北市,信義區,ChIJYbLlbUarQjQRDDkNSHZLU_A,MiraWan Eatery,4.2,872,,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號47樓,其他
台北市,信義區,ChIJQeGuX7mrQjQRtpb4XKON_vE,涮乃葉 統一時代市府店,4.1,2415,2.0,"restaurant,point_of_interest,food,establishment","3樓, No. 8號忠孝東路五段信義區台北市台灣 110",其他
台北市,信義區,ChIJewvXULqrQjQR6zpjEk5Nj0E,探索廚房,3.9,8720,3.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松仁路38號,其他
台北市,信義區,ChIJVS7ItnmrQjQRqNmHO0yS0yI,The Ukai Taipei,4.3,1241,4.0,"restaurant,point_of_interest,food,establishment",110台灣台北市信義區松智路17號46樓,其他
台北市,信義區,ChIJ55kZ-VOrQjQRsWhqEGglwzk,WILDWOOD 原木燒烤牛排海鮮餐廳,4.2,942,,"bar,restaurant,point_of_interest,food,establishment",110台灣台北市信義區松壽路9號4樓,海鮮
新北市,板橋區,ChIJxzJ8R8WpQjQRzBoeds1N_bQ,義饗世界,4.8,702,,"restaurant,food,store,point_of_interest,establishment",220台灣新北市板橋區文化路一段270巷3弄40號,其他
新北市,板橋區,ChIJTUsu4ZsDaDQR8NADaOZHav0,Second Floor 貳樓板橋店,4.4,2113,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區遠東路62之6號1樓,其他
新北市,板橋區,ChIJhaZSfcWrQjQRi9VKCSsaRhU,禾多靜巷 義式餐廳,4.4,1742,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區莒光路133巷12之3號1F,義式
新北市,板橋區,ChIJWWqX1R6oQjQRz9jEIsV5bIQ,典藏33觀景餐廳,4.3,2412,2.0,"bar,restaurant,food,point_of_interest,establishment",220台灣新北市板橋區中山路一段161號33樓,其他
新北市,板橋區,ChIJd9rH8qcCaDQRj53bh7RUZcM,這一鍋 板橋府中殿,4.7,7962,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區府中路29-2號,其他
新北市,板橋區,ChIJba2tJvEDaDQRoXKyAe-vXcc,茗香園冰室 - 板橋店,3.7,1842,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區中山路一段7號2樓,其他
新北市,板橋區,ChIJ01yafqcCaDQRHpasfxTd2XU,品鼎殿日式壽喜燒,4.5,6998,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區中山路一段24號,其他
新北市,板橋區,ChIJvdIA7x2oQjQR2pY5GgGs-IQ,樂漢堡美式餐廳 新北板橋店 LOVSS BURGER,4.7,3687,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區漢生東路133號,美式
新北市,板橋區,ChIJs4q_qz-pQjQRAV1O2LhH-1A,ABV Bar & Kitchen 閣樓餐酒館 景觀餐廳 板橋餐酒館 義大利麵歐陸料理,4.7,6081,2.0,"bar,restaurant,food,store,point_of_interest,establishment",220台灣新北市板橋區府中路67號12樓,義式
新北市,板橋區,ChIJxRJqSBmoQjQR3gtSHvJgkZk,鼎泰豐 板橋店,4.5,7010,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區新站路28號b1,其他
新北市,板橋區,ChIJ7bjCtOOpQjQRRKgDRbm3gd8,雙月食品社 板橋店,4.9,10277,2.0,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",220台灣新北市板橋區文化路一段188巷69號,其他
新北市,板橋區,ChIJAzXAHdypQjQRBiuha7HZcAg,旬野漁平日式料理-板橋美食 板橋丼飯 板橋日本料理 板橋壽司 耶誕城美食 大遠百美食 板新美食,4.8,1206,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區板新路61號,日式
新北市,板橋區,ChIJMS3x0qkCaDQRzHtNhoQW7_c,津囋灶咖/熱炒/鵝肉/土雞/生鮮海產/府中在地老字號/網路人氣美食,4.7,3325,2.0,"restaurant,food,point_of_interest,establishment",220台灣新北市板橋區林園街7號,中式
新北市,板橋區,ChIJEZOBgb6pQjQRvrVYy9YFaXI,默爾 pasta pizza(新北誠品新板店),4.8,3565,2.0,"restaurant,food,point_of_interest,establishment","3樓, No. 66號縣民大道二段板橋區新北市台灣 220",義式
